"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2013,"Gross Exp.",2,167761.27
"H0","ABW"," Total","Aruba","All","All countries  All --- All  ",2013,"Gross Imp.",1,1303316.842
"H0","ABW"," Total","Aruba","BEL","Belgium",2013,"Gross Exp.",2,142.254
"H0","ABW"," Total","Aruba","BEL","Belgium",2013,"Gross Imp.",1,774.721
"H0","ABW"," Total","Aruba","BHS","Bahamas, The",2013,"Gross Exp.",2,7.736
"H0","ABW"," Total","Aruba","BHS","Bahamas, The",2013,"Gross Imp.",1,9836.949
"H0","ABW"," Total","Aruba","CHE","Switzerland",2013,"Gross Exp.",2,304.225
"H0","ABW"," Total","Aruba","CHE","Switzerland",2013,"Gross Imp.",1,17830.201
"H0","ABW"," Total","Aruba","CHN","China",2013,"Gross Exp.",2,137.797
"H0","ABW"," Total","Aruba","CHN","China",2013,"Gross Imp.",1,32349.645
"H0","ABW"," Total","Aruba","COL","Colombia",2013,"Gross Exp.",2,61729.538
"H0","ABW"," Total","Aruba","COL","Colombia",2013,"Gross Imp.",1,22166.898
"H0","ABW"," Total","Aruba","CUW","Curaçao",2013,"Gross Exp.",2,31656.592
"H0","ABW"," Total","Aruba","CUW","Curaçao",2013,"Gross Imp.",1,24983.127
"H0","ABW"," Total","Aruba","DOM","Dominican Republic",2013,"Gross Exp.",2,623.189
"H0","ABW"," Total","Aruba","DOM","Dominican Republic",2013,"Gross Imp.",1,9318.673
"H0","ABW"," Total","Aruba","ESP","Spain",2013,"Gross Exp.",2,536.821
"H0","ABW"," Total","Aruba","ESP","Spain",2013,"Gross Imp.",1,13900.681
"H0","ABW"," Total","Aruba","FRA","France",2013,"Gross Exp.",2,150.728
"H0","ABW"," Total","Aruba","FRA","France",2013,"Gross Imp.",1,14291.663
"H0","ABW"," Total","Aruba","GBR","United Kingdom",2013,"Gross Exp.",2,12.274
"H0","ABW"," Total","Aruba","GBR","United Kingdom",2013,"Gross Imp.",1,88165.499
"H0","ABW"," Total","Aruba","JAM","Jamaica",2013,"Gross Exp.",2,408.295
"H0","ABW"," Total","Aruba","JAM","Jamaica",2013,"Gross Imp.",1,2428.955
"H0","ABW"," Total","Aruba","KOR","Korea, Rep.",2013,"Gross Exp.",2,599.709
"H0","ABW"," Total","Aruba","KOR","Korea, Rep.",2013,"Gross Imp.",1,22692.645
"H0","ABW"," Total","Aruba","MEX","Mexico",2013,"Gross Exp.",2,1333.732
"H0","ABW"," Total","Aruba","MEX","Mexico",2013,"Gross Imp.",1,14908.924
"H0","ABW"," Total","Aruba","NLD","Netherlands",2013,"Gross Exp.",2,7645.354
"H0","ABW"," Total","Aruba","NLD","Netherlands",2013,"Gross Imp.",1,144707.075
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2013,"Gross Exp.",2,1626.133
"H0","ABW"," Total","Aruba","OAS","Other Asia, nes",2013,"Gross Imp.",1,576.074
"H0","ABW"," Total","Aruba","PAN","Panama",2013,"Gross Exp.",2,6634.264
"H0","ABW"," Total","Aruba","PAN","Panama",2013,"Gross Imp.",1,38576.486
"H0","ABW"," Total","Aruba","POL","Poland",2013,"Gross Exp.",2,0.745
"H0","ABW"," Total","Aruba","POL","Poland",2013,"Gross Imp.",1,154.633
"H0","ABW"," Total","Aruba","SUR","Suriname",2013,"Gross Exp.",2,2959.088
