
="",="(1)",="(2)",="(3)"
="",="ln (import from ROW (excluding China))",="ln (export to ROW (excluding China))",="ln (trade with ROW (excluding China))"

="post_did",="0.0117",="-0.0335",="-0.0107"
="",="(0.0166)",="(0.0290)",="(0.0156)"

="briyear",="0.127***",="0.101***",="0.113***"
="",="(0.0240)",="(0.0344)",="(0.0218)"

="BRI",="1.495***",="3.392***",="1.950***"
="",="(0.242)",="(0.329)",="(0.235)"

="ln (GDP)",="0.487***",="0.591***",="0.551***"
="",="(0.0447)",="(0.0595)",="(0.0403)"

="Constant",="9.599***",="5.454***",="8.433***"
="",="(0.905)",="(1.206)",="(0.817)"

="Observations",="1214",="1212",="1215"
="R-squared",="0.996",="0.990",="0.997"
="AIC",="-1103.1",="570.8",="-1243.7"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
