
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="ln (import from ROW (excluding China))",="ln (export to ROW (excluding China))",="ln (trade with ROW (excluding China))",="ln (import from ROW (excluding China))",="ln (export to ROW (excluding China))",="ln (trade with ROW (excluding China))"

="bri_entry",="0.0413*",="0.0273",="0.0363*",="0.0413*",="0.0273",="0.0363*"
="",="(0.0228)",="(0.0269)",="(0.0214)",="(0.0228)",="(0.0269)",="(0.0214)"

="briyear",="0.107***",="0.0619*",="0.0819***",="0.107***",="0.0619*",="0.0819***"
="",="(0.0262)",="(0.0360)",="(0.0243)",="(0.0262)",="(0.0360)",="(0.0243)"

="BRI",="1.457***",="3.376***",="1.920***",="1.457***",="3.376***",="1.920***"
="",="(0.246)",="(0.332)",="(0.240)",="(0.246)",="(0.332)",="(0.240)"

="ln (GDP)",="0.496***",="0.589***",="0.555***",="0.496***",="0.589***",="0.555***"
="",="(0.0458)",="(0.0589)",="(0.0414)",="(0.0458)",="(0.0589)",="(0.0414)"

="Constant",="9.435***",="5.513***",="8.369***",="9.435***",="5.513***",="8.369***"
="",="(0.926)",="(1.192)",="(0.839)",="(0.926)",="(1.192)",="(0.839)"

="Observations",="1214",="1212",="1215",="1214",="1212",="1215"
="R-squared",="0.996",="0.990",="0.997",="0.996",="0.990",="0.997"
="AIC",="-1108.9",="571.0",="-1248.7",="-1108.9",="571.0",="-1248.7"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
