
="",="(1)",="(2)",="(3)"
="",="ln (import from ROW (excluding China))",="ln (export to ROW (excluding China))",="ln (trade with ROW (excluding China))"

="bri_entry",="0.0413*",="0.0273",="0.0363*"
="",="(0.0228)",="(0.0269)",="(0.0214)"

="ln (GDP)",="0.496***",="0.589***",="0.555***"
="",="(0.0458)",="(0.0589)",="(0.0414)"

="Constant",="10.89***",="8.889***",="10.29***"
="",="(1.161)",="(1.503)",="(1.061)"

="Observations",="1214",="1212",="1215"
="R-squared",="0.996",="0.990",="0.997"
="AIC",="-1108.9",="571.0",="-1248.7"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
