
="",="(1)",="(2)",="(3)"
="",="ln_import_bri",="ln_export_bri",="ln_trade_bri"

="country_brientry",="0.0297",="0.0740*",="0.0401"
="",="(0.0329)",="(0.0438)",="(0.0321)"

="ln (country's GDP)",="0.525***",="0.664***",="0.585***"
="",="(0.0670)",="(0.101)",="(0.0725)"

="Constant",="9.439***",="5.555**",="8.439***"
="",="(1.693)",="(2.542)",="(1.831)"

="Observations",="826",="828",="828"
="R-squared",="0.990",="0.979",="0.992"
="AIC",="-265.6",="851.7",="-341.0"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
