
="",="(1)",="(2)",="(3)"
="",="ln_import_bri",="ln_export_bri",="ln_trade_bri"

="post_did",="0.232***",="0.162***",="0.202***"
="",="(0.0384)",="(0.0579)",="(0.0356)"

="ln (country's GDP)",="0.517***",="0.644***",="0.575***"
="",="(0.0651)",="(0.0980)",="(0.0696)"

="Constant",="9.633***",="6.043**",="8.703***"
="",="(1.645)",="(2.476)",="(1.760)"

="Observations",="826",="828",="828"
="R-squared",="0.990",="0.979",="0.992"
="AIC",="-266.4",="851.6",="-340.6"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
