
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="ln (import from ROW (excluding China))",="ln (export to ROW (excluding China))",="Imports to GDP ratio",="Exports to GDP ratio",="ln (import from ROW (excluding China))",="ln (export to ROW (excluding China))",="Imports to GDP ratio",="Exports to GDP ratio"

="bri_entry",="0.0505*",="0.0361",="0.0390*",="0.0138",="0.0413",="0.0273",="0.0306",="0.00776"
="",="(0.0295)",="(0.0325)",="(0.0233)",="(0.0102)",="(0.0297)",="(0.0321)",="(0.0207)",="(0.00964)"

="ln (GDP)",="0.544***",="0.608***",="",="",="0.496***",="0.589***",="",=""
="",="(0.0770)",="(0.0984)",="",="",="(0.0748)",="(0.0936)",="",=""

="Constant",="9.790***",="9.043***",="0.168***",="0.431***",="10.89***",="8.889***",="0.152***",="0.231***"
="",="(1.950)",="(2.486)",="(0.00525)",="(0.00523)",="(1.891)",="(2.364)",="(0.00484)",="(0.00480)"

="Observations",="1214",="1212",="1215",="1215",="1214",="1212",="1215",="1215"
="R-squared",="0.996",="0.990",="0.882",="0.961",="0.996",="0.990",="0.857",="0.951"
="AIC",="-1410.5",="267.9",="-2514.9",="-3794.7",="-1378.9",="301.0",="-2744.3",="-3939.6"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
