
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="ln (Trade)",="ln (Trade)",="ln (Trade)",="Trade",="Trade",="Trade"

="BRI_it",="0.0189",="",="",="-0.0165",="",=""
="",="(0.0157)",="",="",="(0.0197)",="",=""

="BRI_jt",="",="0.141***",="",="",="-0.0153",=""
="",="",="(0.0153)",="",="",="(0.0193)",=""

="BRI_ijt",="",="",="0.185***",="",="",="0.145***"
="",="",="",="(0.0280)",="",="",="(0.0538)"

="ln (captial distance)",="-1.473***",="-1.473***",="-1.471***",="-0.699***",="-0.699***",="-0.698***"
="",="(0.0312)",="(0.0312)",="(0.0312)",="(0.0425)",="(0.0425)",="(0.0424)"

="Importing country's GDP",="0.641***",="0.640***",="0.639***",="0.548***",="0.548***",="0.543***"
="",="(0.0416)",="(0.0413)",="(0.0413)",="(0.0553)",="(0.0552)",="(0.0566)"

="Exporting country's GDP",="0.332***",="0.351***",="0.332***",="0.558***",="0.558***",="0.556***"
="",="(0.0446)",="(0.0444)",="(0.0445)",="(0.0479)",="(0.0480)",="(0.0487)"

="RTA",="0.469***",="0.470***",="0.469***",="0.386***",="0.386***",="0.386***"
="",="(0.0406)",="(0.0406)",="(0.0405)",="(0.0812)",="(0.0812)",="(0.0808)"

="col45",="1.613***",="1.613***",="1.610***",="0.179",="0.179",="0.181"
="",="(0.198)",="(0.198)",="(0.198)",="(0.242)",="(0.242)",="(0.239)"

="Contiguity",="0.474***",="0.474***",="0.468***",="0.468***",="0.468***",="0.464***"
="",="(0.153)",="(0.153)",="(0.153)",="(0.0826)",="(0.0826)",="(0.0824)"

="comleg_posttrans",="0.339***",="0.339***",="0.339***",="0.148***",="0.148***",="0.150***"
="",="(0.0372)",="(0.0372)",="(0.0372)",="(0.0453)",="(0.0453)",="(0.0453)"

="Constant",="1.019",="0.538",="1.025",="-2.653",="-2.654",="-2.456"
="",="(1.634)",="(1.626)",="(1.628)",="(2.584)",="(2.582)",="(2.647)"

="Observations",="112431",="112431",="112431",="162810",="162810",="162810"
="R-squared",="0.767",="0.768",="0.768",="",="",=""
="Pseudo R-squared",="",="",="",="0.933",="0.933",="0.933"
="AIC",="452077.1",="452037.9",="452033.7",="4.33068e+13",="4.33069e+13",="4.32580e+13"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
