
="",="(1)",="(2)",="(3)"
="",="ln (import)",="ln (import)",="ln (import)"

="ln (captial distance)",="-1.473***",="-1.473***",="-1.471***"
="",="(0.0101)",="(0.0101)",="(0.0101)"

="ln (country's GDP)",="0.641***",="0.640***",="0.639***"
="",="(0.0509)",="(0.0507)",="(0.0507)"

="ln (partner's GDP)",="0.332***",="0.351***",="0.332***"
="",="(0.0549)",="(0.0548)",="(0.0549)"

="RTA",="0.469***",="0.470***",="0.469***"
="",="(0.0148)",="(0.0148)",="(0.0148)"

="col45",="1.613***",="1.613***",="1.610***"
="",="(0.0531)",="(0.0531)",="(0.0531)"

="Contiguity",="0.474***",="0.474***",="0.468***"
="",="(0.0420)",="(0.0420)",="(0.0420)"

="comleg_posttrans",="0.339***",="0.339***",="0.339***"
="",="(0.0129)",="(0.0129)",="(0.0129)"

="BRI_it",="0.0189",="",=""
="",="(0.0217)",="",=""

="BRI_jt",="",="0.141***",=""
="",="",="(0.0214)",=""

="BRI_ijt",="",="",="0.185***"
="",="",="",="(0.0267)"

="Constant",="1.019",="0.538",="1.025"
="",="(1.946)",="(1.940)",="(1.941)"

="Observations",="112431",="112431",="112431"
="R-squared",="0.767",="0.768",="0.768"
="AIC",="452077.1",="452037.9",="452033.7"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
