
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="ln (Trade)",="ln (Trade)",="ln (Trade)",="Trade",="Trade",="Trade"

="BRI_ijt*ln(capital distance)",="0.0183***",="",="",="0.0168***",="",=""
="",="(0.00326)",="",="",="(0.00647)",="",=""

="BRI_ijt*ln(country's GDP)",="",="0.00717***",="",="",="0.00526***",=""
="",="",="(0.00111)",="",="",="(0.00203)",=""

="BRI_ijt*ln(partner's GDP)",="",="",="0.00725***",="",="",="0.00553***"
="",="",="",="(0.00110)",="",="",="(0.00204)"

="ln (captial distance)",="-1.473***",="-1.471***",="-1.471***",="-0.699***",="-0.698***",="-0.698***"
="",="(0.0312)",="(0.0312)",="(0.0312)",="(0.0424)",="(0.0424)",="(0.0424)"

="Importing country's GDP",="0.637***",="0.641***",="0.639***",="0.543***",="0.543***",="0.543***"
="",="(0.0413)",="(0.0414)",="(0.0413)",="(0.0562)",="(0.0565)",="(0.0566)"

="Exporting country's GDP",="0.330***",="0.332***",="0.334***",="0.556***",="0.556***",="0.556***"
="",="(0.0445)",="(0.0445)",="(0.0445)",="(0.0484)",="(0.0486)",="(0.0487)"

="RTA",="0.470***",="0.469***",="0.469***",="0.386***",="0.386***",="0.386***"
="",="(0.0405)",="(0.0405)",="(0.0405)",="(0.0809)",="(0.0809)",="(0.0808)"

="col45",="1.611***",="1.609***",="1.609***",="0.182",="0.181",="0.181"
="",="(0.198)",="(0.198)",="(0.198)",="(0.239)",="(0.239)",="(0.239)"

="Contiguity",="0.471***",="0.468***",="0.468***",="0.465***",="0.464***",="0.464***"
="",="(0.153)",="(0.153)",="(0.153)",="(0.0824)",="(0.0824)",="(0.0824)"

="comleg_posttrans",="0.339***",="0.339***",="0.339***",="0.149***",="0.150***",="0.150***"
="",="(0.0372)",="(0.0372)",="(0.0372)",="(0.0452)",="(0.0453)",="(0.0453)"

="Constant",="1.126",="0.993",="0.993",="-2.452",="-2.460",="-2.458"
="",="(1.628)",="(1.629)",="(1.628)",="(2.628)",="(2.644)",="(2.649)"

="Observations",="112431",="112431",="112431",="162810",="162810",="162810"
="R-squared",="0.768",="0.768",="0.768",="",="",=""
="Pseudo R-squared",="",="",="",="0.933",="0.933",="0.933"
="AIC",="452047.4",="452035.4",="452034.4",="4.32683e+13",="4.32617e+13",="4.32563e+13"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
