
="",="(1)",="(2)",="(3)"
="",="import_share",="export_share",="trade_share"

="post_did",="-0.00768",="-0.0232",="-0.0155"
="",="(0.0192)",="(0.0186)",="(0.0174)"

="briyear",="-0.0634***",="-0.0591**",="-0.0613***"
="",="(0.0228)",="(0.0254)",="(0.0220)"

="BRI",="-1.023***",="-1.057***",="-1.041***"
="",="(0.152)",="(0.181)",="(0.151)"

="ln (GDP)",="0.232***",="0.253***",="0.243***"
="",="(0.0300)",="(0.0354)",="(0.0296)"

="Constant",="-4.690***",="-5.129***",="-4.916***"
="",="(0.608)",="(0.715)",="(0.599)"

="Observations",="1215",="1215",="1215"
="R-squared",="0.996",="0.995",="0.997"
="AIC",="-1661.8",="-1687.7",="-1991.4"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
