
="",="(1)",="(2)",="(3)"
="",="ln (import)",="ln (import)",="ln (import)"

="ln (captial distance)",="-1.664***",="-1.548***",="-1.473***"
="",="(0.00852)",="(0.00920)",="(0.0101)"

="ln (country's GDP)",="0.626***",="0.638***",="0.638***"
="",="(0.0513)",="(0.0511)",="(0.0507)"

="ln (partner's GDP)",="0.322***",="0.332***",="0.331***"
="",="(0.0554)",="(0.0553)",="(0.0549)"

="BRI_i",="1.279***",="1.403***",="1.343***"
="",="(0.278)",="(0.278)",="(0.276)"

="BRI_j",="2.115***",="2.262***",="2.223***"
="",="(0.360)",="(0.359)",="(0.358)"

="BRI_ij",="3.354***",="3.619***",="3.508***"
="",="(0.463)",="(0.461)",="(0.458)"

="RTA",="",="0.482***",="0.470***"
="",="",="(0.0149)",="(0.0148)"

="col45",="",="",="1.613***"
="",="",="",="(0.0532)"

="Contiguity",="",="",="0.477***"
="",="",="",="(0.0420)"

="comleg_posttrans",="",="",="0.339***"
="",="",="",="(0.0129)"

="Constant",="-0.00784",="-1.650",="-2.416"
="",="(1.581)",="(1.575)",="(1.564)"

="Observations",="112431",="112431",="112431"
="R-squared",="0.761",="0.763",="0.767"
="AIC",="455160.1",="454114.2",="452072.3"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
