
="",="(1)",="(2)",="(3)"
="",="ln (import)",="ln (import)",="ln (import)"

="ln (captial distance)",="-1.464***",="-1.473***",="-1.473***"
="",="(0.0101)",="(0.0101)",="(0.0101)"

="ln (country's GDP)",="0.638***",="0.639***",="0.638***"
="",="(0.0507)",="(0.0507)",="(0.0507)"

="ln (partner's GDP)",="0.332***",="0.332***",="0.333***"
="",="(0.0549)",="(0.0549)",="(0.0549)"

="RTA",="0.470***",="0.470***",="0.470***"
="",="(0.0148)",="(0.0148)",="(0.0148)"

="col45",="1.605***",="1.613***",="1.613***"
="",="(0.0533)",="(0.0531)",="(0.0532)"

="Contiguity",="0.479***",="0.477***",="0.477***"
="",="(0.0418)",="(0.0420)",="(0.0420)"

="comleg_posttrans",="0.339***",="0.339***",="0.339***"
="",="(0.0129)",="(0.0129)",="(0.0129)"

="BRI_ij*ln(capital distance)",="-0.0240***",="",=""
="",="(0.00270)",="",=""

="BRI_ij*ln(country's GDP)",="",="-0.00203**",=""
="",="",="(0.000936)",=""

="BRI_ij*ln(partner's GDP)",="",="",="-0.00240***"
="",="",="",="(0.000909)"

="Constant",="1.195",="1.116",="1.120"
="",="(1.941)",="(1.942)",="(1.942)"

="Observations",="112431",="112431",="112431"
="R-squared",="0.768",="0.767",="0.767"
="AIC",="452004.8",="452073.6",="452071.8"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
