
="",="(1)",="(2)",="(3)"
="",="ln (import)",="ln (import)",="ln (import)"

="ln (captial distance)",="-1.661***",="-1.545***",="-1.471***"
="",="(0.00852)",="(0.00920)",="(0.0101)"

="ln (country's GDP)",="0.620***",="0.632***",="0.634***"
="",="(0.0514)",="(0.0513)",="(0.0509)"

="ln (partner's GDP)",="0.331***",="0.342***",="0.343***"
="",="(0.0554)",="(0.0553)",="(0.0549)"

="BRI_it",="-0.0622**",="-0.0583**",="-0.0423*"
="",="(0.0256)",="(0.0255)",="(0.0253)"

="BRI_jt",="0.0615**",="0.0651**",="0.0808***"
="",="(0.0257)",="(0.0255)",="(0.0254)"

="BRI_ijt",="0.209***",="0.212***",="0.201***"
="",="(0.0326)",="(0.0324)",="(0.0320)"

="RTA",="",="0.481***",="0.469***"
="",="",="(0.0149)",="(0.0148)"

="col45",="",="",="1.610***"
="",="",="",="(0.0531)"

="Contiguity",="",="",="0.469***"
="",="",="",="(0.0421)"

="comleg_posttrans",="",="",="0.339***"
="",="",="",="(0.0129)"

="Constant",="3.268*",="1.864",="0.885"
="",="(1.968)",="(1.961)",="(1.947)"

="Observations",="112431",="112431",="112431"
="R-squared",="0.761",="0.763",="0.768"
="AIC",="455096.5",="454051.3",="452021.7"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
