
="",="(1)",="(2)",="(3)"
="",="ln (import)",="ln (import)",="ln (import)"

="ln (captial distance)",="-1.473***",="-1.471***",="-1.471***"
="",="(0.0101)",="(0.0101)",="(0.0101)"

="ln (country's GDP)",="0.637***",="0.641***",="0.639***"
="",="(0.0507)",="(0.0507)",="(0.0507)"

="ln (partner's GDP)",="0.330***",="0.332***",="0.334***"
="",="(0.0549)",="(0.0549)",="(0.0549)"

="RTA",="0.470***",="0.469***",="0.469***"
="",="(0.0148)",="(0.0148)",="(0.0148)"

="col45",="1.611***",="1.609***",="1.609***"
="",="(0.0531)",="(0.0531)",="(0.0531)"

="Contiguity",="0.471***",="0.468***",="0.468***"
="",="(0.0420)",="(0.0420)",="(0.0420)"

="comleg_posttrans",="0.339***",="0.339***",="0.339***"
="",="(0.0129)",="(0.0129)",="(0.0129)"

="BRI_ijt*ln(capital distance)",="0.0183***",="",=""
="",="(0.00318)",="",=""

="BRI_ijt*ln(country's GDP)",="",="0.00717***",=""
="",="",="(0.00105)",=""

="BRI_ijt*ln(partner's GDP)",="",="",="0.00725***"
="",="",="",="(0.00103)"

="Constant",="1.126",="0.993",="0.993"
="",="(1.942)",="(1.941)",="(1.941)"

="Observations",="112431",="112431",="112431"
="R-squared",="0.768",="0.768",="0.768"
="AIC",="452047.4",="452035.4",="452034.4"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
