
="",="(1)",="(2)",="(3)"
="",="ln (import from ROW (excluding China))",="ln (export to ROW (excluding China))",="ln (trade with ROW (excluding China))"

="BRI",="1.493***",="3.399***",="1.952***"
="",="(0.242)",="(0.328)",="(0.236)"

="ln (GDP)",="0.489***",="0.585***",="0.549***"
="",="(0.0451)",="(0.0583)",="(0.0406)"

="Constant",="9.555***",="5.589***",="8.474***"
="",="(0.913)",="(1.180)",="(0.823)"

="Observations",="1214",="1212",="1215"
="R-squared",="0.996",="0.990",="0.997"
="AIC",="-1104.7",="569.7",="-1245.3"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
