
="",="(1)",="(2)",="(3)"
="",="Import",="Import",="Import"

="ln (captial distance)",="-0.794***",="-0.692***",="-0.563***"
="",="(0.00987)",="(0.0131)",="(0.0157)"

="ln (country's GDP)",="0.848***",="0.860***",="0.834***"
="",="(0.00970)",="(0.00992)",="(0.00812)"

="ln (partner's GDP)",="0.852***",="0.864***",="0.838***"
="",="(0.00689)",="(0.00671)",="(0.00758)"

="BRI_i",="-0.0541**",="-0.0351",="-0.0236"
="",="(0.0271)",="(0.0260)",="(0.0258)"

="BRI_j",="0.129***",="0.147***",="0.159***"
="",="(0.0311)",="(0.0292)",="(0.0266)"

="BRI_ij",="0.360***",="0.424***",="0.371***"
="",="(0.0283)",="(0.0280)",="(0.0275)"

="RTA",="",="0.402***",="0.364***"
="",="",="(0.0299)",="(0.0244)"

="col45",="",="",="0.333***"
="",="",="",="(0.0423)"

="Contiguity",="",="",="0.625***"
="",="",="",="(0.0461)"

="comleg_posttrans",="",="",="0.119***"
="",="",="",="(0.0246)"

="Constant",="-18.31***",="-20.06***",="-19.76***"
="",="(0.296)",="(0.368)",="(0.339)"

="Observations",="162810",="162810",="162810"
="R-squared",="0.671",="0.698",="0.750"
="AIC",="8.68647e+13",="8.43990e+13",="7.85082e+13"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
