
="",="(1)",="(2)",="(3)"
="",="Import",="Import",="Import"

="ln (captial distance)",="-0.564***",="-0.559***",="-0.559***"
="",="(0.0156)",="(0.0156)",="(0.0155)"

="ln (country's GDP)",="0.837***",="0.838***",="0.840***"
="",="(0.00717)",="(0.00709)",="(0.00717)"

="ln (partner's GDP)",="0.815***",="0.817***",="0.817***"
="",="(0.00664)",="(0.00659)",="(0.00651)"

="RTA",="0.357***",="0.361***",="0.362***"
="",="(0.0245)",="(0.0245)",="(0.0245)"

="col45",="0.355***",="0.346***",="0.346***"
="",="(0.0401)",="(0.0396)",="(0.0393)"

="Contiguity",="0.621***",="0.619***",="0.618***"
="",="(0.0461)",="(0.0459)",="(0.0458)"

="comleg_posttrans",="0.124***",="0.125***",="0.124***"
="",="(0.0247)",="(0.0246)",="(0.0246)"

="BRI_ij*ln(capital distance)",="0.0356***",="",=""
="",="(0.00277)",="",=""

="BRI_ij*ln(country's GDP)",="",="0.0115***",=""
="",="",="(0.000835)",=""

="BRI_ij*ln(partner's GDP)",="",="",="0.0121***"
="",="",="",="(0.000839)"

="Constant",="-19.15***",="-19.29***",="-19.36***"
="",="(0.332)",="(0.331)",="(0.331)"

="Observations",="162810",="162810",="162810"
="R-squared",="0.754",="0.754",="0.755"
="AIC",="7.90706e+13",="7.89080e+13",="7.88044e+13"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
