
="",="(1)",="(2)",="(3)"
="",="Import",="Import",="Import"

="ln (captial distance)",="-0.788***",="-0.689***",="-0.559***"
="",="(0.0101)",="(0.0131)",="(0.0157)"

="ln (country's GDP)",="0.835***",="0.842***",="0.818***"
="",="(0.00886)",="(0.00896)",="(0.00694)"

="ln (partner's GDP)",="0.820***",="0.827***",="0.804***"
="",="(0.00616)",="(0.00609)",="(0.00643)"

="BRI_it",="-0.131***",="-0.116***",="-0.0958***"
="",="(0.0302)",="(0.0287)",="(0.0267)"

="BRI_jt",="0.0491",="0.0632*",="0.0846***"
="",="(0.0356)",="(0.0329)",="(0.0319)"

="BRI_ijt",="0.421***",="0.469***",="0.384***"
="",="(0.0420)",="(0.0417)",="(0.0409)"

="RTA",="",="0.379***",="0.346***"
="",="",="(0.0301)",="(0.0246)"

="col45",="",="",="0.344***"
="",="",="",="(0.0423)"

="Contiguity",="",="",="0.626***"
="",="",="",="(0.0467)"

="comleg_posttrans",="",="",="0.132***"
="",="",="",="(0.0248)"

="Constant",="-17.05***",="-18.47***",="-18.34***"
="",="(0.293)",="(0.363)",="(0.310)"

="Observations",="162810",="162810",="162810"
="R-squared",="0.673",="0.699",="0.754"
="AIC",="8.76559e+13",="8.54689e+13",="7.93632e+13"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
