
="",="(1)",="(2)",="(3)"
="",="Import",="Import",="Import"

="ln (captial distance)",="-0.560***",="-0.559***",="-0.559***"
="",="(0.0157)",="(0.0157)",="(0.0157)"

="ln (country's GDP)",="0.821***",="0.822***",="0.822***"
="",="(0.00681)",="(0.00680)",="(0.00681)"

="ln (partner's GDP)",="0.800***",="0.800***",="0.800***"
="",="(0.00620)",="(0.00620)",="(0.00619)"

="RTA",="0.344***",="0.346***",="0.346***"
="",="(0.0245)",="(0.0245)",="(0.0245)"

="col45",="0.349***",="0.344***",="0.343***"
="",="(0.0413)",="(0.0412)",="(0.0411)"

="Contiguity",="0.628***",="0.626***",="0.626***"
="",="(0.0466)",="(0.0466)",="(0.0466)"

="comleg_posttrans",="0.132***",="0.132***",="0.132***"
="",="(0.0248)",="(0.0247)",="(0.0247)"

="BRI_ijt*ln(capital distance)",="0.0449***",="",=""
="",="(0.00510)",="",=""

="BRI_ijt*ln(country's GDP)",="",="0.0143***",=""
="",="",="(0.00154)",=""

="BRI_ijt*ln(partner's GDP)",="",="",="0.0148***"
="",="",="",="(0.00155)"

="Constant",="-18.29***",="-18.33***",="-18.34***"
="",="(0.308)",="(0.308)",="(0.308)"

="Observations",="162810",="162810",="162810"
="R-squared",="0.755",="0.755",="0.755"
="AIC",="7.95329e+13",="7.94727e+13",="7.94442e+13"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
