
="",="(1)",="(2)",="(3)"
="",="Import",="Import",="Import"

="ln (captial distance)",="-0.697***",="-0.694***",="-0.694***"
="",="(0.0118)",="(0.0119)",="(0.0119)"

="ln (country's GDP)",="0.547***",="0.546***",="0.547***"
="",="(0.0801)",="(0.0801)",="(0.0801)"

="ln (partner's GDP)",="0.559***",="0.558***",="0.557***"
="",="(0.0746)",="(0.0744)",="(0.0743)"

="RTA",="0.389***",="0.389***",="0.389***"
="",="(0.0239)",="(0.0239)",="(0.0239)"

="col45",="0.194***",="0.195***",="0.195***"
="",="(0.0626)",="(0.0621)",="(0.0620)"

="Contiguity",="0.458***",="0.456***",="0.455***"
="",="(0.0230)",="(0.0230)",="(0.0230)"

="comleg_posttrans",="0.152***",="0.154***",="0.154***"
="",="(0.0132)",="(0.0132)",="(0.0132)"

="BRI_ij*ln(capital distance)",="0.0134***",="",=""
="",="(0.00304)",="",=""

="BRI_ij*ln(country's GDP)",="",="0.00464***",=""
="",="",="(0.000962)",=""

="BRI_ij*ln(partner's GDP)",="",="",="0.00501***"
="",="",="",="(0.000955)"

="Constant",="-2.678",="-2.650",="-2.648"
="",="(2.856)",="(2.855)",="(2.853)"

="Observations",="162810",="162810",="162810"
="Pseudo R-squared",="0.933",="0.933",="0.933"
="AIC",="4.32511e+13",="4.32338e+13",="4.32206e+13"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
