
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="Import",="Import",="Import",="Import",="Import"

="ln (captial distance)",="-0.699***",="-0.699***",="-0.698***",="-0.698***",="-0.698***"
="",="(0.0118)",="(0.0118)",="(0.0118)",="(0.0118)",="(0.0118)"

="ln (country's GDP)",="0.548***",="0.548***",="0.543***",="0.543***",="0.544***"
="",="(0.0802)",="(0.0803)",="(0.0800)",="(0.0800)",="(0.0801)"

="ln (partner's GDP)",="0.558***",="0.558***",="0.556***",="0.555***",="0.554***"
="",="(0.0751)",="(0.0752)",="(0.0749)",="(0.0748)",="(0.0749)"

="RTA",="0.386***",="0.386***",="0.386***",="0.386***",="0.386***"
="",="(0.0238)",="(0.0238)",="(0.0238)",="(0.0237)",="(0.0238)"

="col45",="0.179***",="0.179***",="0.181***",="0.180***",="0.181***"
="",="(0.0636)",="(0.0636)",="(0.0631)",="(0.0629)",="(0.0630)"

="Contiguity",="0.468***",="0.468***",="0.464***",="0.462***",="0.462***"
="",="(0.0230)",="(0.0230)",="(0.0231)",="(0.0230)",="(0.0230)"

="comleg_posttrans",="0.148***",="0.148***",="0.150***",="0.150***",="0.150***"
="",="(0.0133)",="(0.0133)",="(0.0133)",="(0.0133)",="(0.0133)"

="BRI_it",="-0.0165",="",="",="-0.0840***",=""
="",="(0.0282)",="",="",="(0.0296)",=""

="BRI_jt",="",="-0.0153",="",="",="-0.0703**"
="",="",="(0.0310)",="",="",="(0.0354)"

="BRI_ijt",="",="",="0.145***",="0.202***",="0.190***"
="",="",="",="(0.0431)",="(0.0450)",="(0.0488)"

="Constant",="-2.653",="-2.654",="-2.456",="-2.416",="-2.431"
="",="(2.863)",="(2.864)",="(2.857)",="(2.855)",="(2.859)"

="Observations",="162810",="162810",="162810",="162810",="162810"
="Pseudo R-squared",="0.933",="0.933",="0.933",="0.933",="0.933"
="AIC",="4.33068e+13",="4.33069e+13",="4.32580e+13",="4.32324e+13",="4.32373e+13"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
