
="",="(1)",="(2)",="(3)"
="",="Import",="Import",="Import"

="ln (captial distance)",="-0.931***",="-0.840***",="-0.698***"
="",="(0.00933)",="(0.0114)",="(0.0118)"

="ln (country's GDP)",="0.542***",="0.548***",="0.544***"
="",="(0.0897)",="(0.0818)",="(0.0801)"

="ln (partner's GDP)",="0.554***",="0.556***",="0.553***"
="",="(0.0836)",="(0.0778)",="(0.0748)"

="BRI_it",="-0.105***",="-0.110***",="-0.0960***"
="",="(0.0357)",="(0.0306)",="(0.0299)"

="BRI_jt",="-0.0900**",="-0.0943***",="-0.0823**"
="",="(0.0408)",="(0.0366)",="(0.0358)"

="BRI_ijt",="0.110**",="0.1000**",="0.0849*"
="",="(0.0505)",="(0.0481)",="(0.0473)"

="RTA",="",="0.386***",="0.387***"
="",="",="(0.0250)",="(0.0237)"

="col45",="",="",="0.180***"
="",="",="",="(0.0626)"

="Contiguity",="",="",="0.460***"
="",="",="",="(0.0229)"

="comleg_posttrans",="",="",="0.151***"
="",="",="",="(0.0133)"

="Constant",="-0.163",="-1.309",="-2.385"
="",="(3.160)",="(3.034)",="(2.857)"

="Observations",="162810",="162810",="162810"
="Pseudo R-squared",="0.927",="0.930",="0.933"
="AIC",="4.70953e+13",="4.55938e+13",="4.32044e+13"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
