
="",="(1)",="(2)",="(3)"
="",="Import",="Import",="Import"

="ln (captial distance)",="-0.699***",="-0.698***",="-0.698***"
="",="(0.0118)",="(0.0118)",="(0.0118)"

="ln (country's GDP)",="0.543***",="0.543***",="0.543***"
="",="(0.0800)",="(0.0801)",="(0.0800)"

="ln (partner's GDP)",="0.556***",="0.556***",="0.556***"
="",="(0.0749)",="(0.0749)",="(0.0749)"

="RTA",="0.386***",="0.386***",="0.386***"
="",="(0.0238)",="(0.0238)",="(0.0238)"

="col45",="0.182***",="0.181***",="0.181***"
="",="(0.0632)",="(0.0631)",="(0.0631)"

="Contiguity",="0.465***",="0.464***",="0.464***"
="",="(0.0231)",="(0.0231)",="(0.0231)"

="comleg_posttrans",="0.149***",="0.150***",="0.150***"
="",="(0.0133)",="(0.0133)",="(0.0133)"

="BRI_ijt*ln(capital distance)",="0.0168***",="",=""
="",="(0.00512)",="",=""

="BRI_ijt*ln(country's GDP)",="",="0.00526***",=""
="",="",="(0.00163)",=""

="BRI_ijt*ln(partner's GDP)",="",="",="0.00553***"
="",="",="",="(0.00163)"

="Constant",="-2.452",="-2.460",="-2.458"
="",="(2.857)",="(2.857)",="(2.857)"

="Observations",="162810",="162810",="162810"
="Pseudo R-squared",="0.933",="0.933",="0.933"
="AIC",="4.32683e+13",="4.32617e+13",="4.32563e+13"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
