
="",="(1)",="(2)",="(3)"
="",="ln (import from ROW (excluding China))",="ln (export to ROW (excluding China))",="ln (trade with ROW (excluding China))"

="post_did",="-0.0778",="-0.163",="-0.0241"
="",="(0.107)",="(0.297)",="(0.123)"

="briyear",="0.544***",="0.239",="0.490***"
="",="(0.104)",="(0.259)",="(0.114)"

="BRI",="-1.188***",="-1.331***",="-1.288***"
="",="(0.205)",="(0.333)",="(0.188)"

="ln (GDP)",="0.0391",="0.622**",="0.137"
="",="(0.191)",="(0.307)",="(0.170)"

="Constant",="20.30***",="6.474",="18.47***"
="",="(4.274)",="(6.878)",="(3.799)"

="Observations",="99",="99",="99"
="R-squared",="0.972",="0.921",="0.976"
="AIC",="-18.06",="137.6",="-25.17"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
