
="",="(1)",="(2)",="(3)"
="",="ln (import from ROW (excluding China))",="ln (export to ROW (excluding China))",="ln (trade with ROW (excluding China))"

="post_did",="0.0478",="-0.106",="-0.0207"
="",="(0.0453)",="(0.0869)",="(0.0401)"

="briyear",="0.0531",="0.0563",="0.0665"
="",="(0.0800)",="(0.133)",="(0.0667)"

="BRI",="0.244",="-0.152",="0.297"
="",="(0.373)",="(0.523)",="(0.329)"

="ln (GDP)",="0.629***",="0.862***",="0.673***"
="",="(0.107)",="(0.149)",="(0.0926)"

="Constant",="7.258***",="2.182",="7.016***"
="",="(2.340)",="(3.237)",="(2.027)"

="Observations",="297",="297",="297"
="R-squared",="0.990",="0.964",="0.993"
="AIC",="-128.5",="434.6",="-180.6"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
