
="",="(1)",="(2)",="(3)"
="",="ln (import from ROW (excluding China))",="ln (export to ROW (excluding China))",="ln (trade with ROW (excluding China))"

="post_did",="0.0348",="0.0359",="0.0406"
="",="(0.0304)",="(0.0381)",="(0.0279)"

="briyear",="0.0812*",="0.00972",="0.0307"
="",="(0.0418)",="(0.0540)",="(0.0386)"

="BRI",="1.220***",="2.041***",="1.135***"
="",="(0.207)",="(0.187)",="(0.171)"

="ln (GDP)",="0.480***",="0.625***",="0.595***"
="",="(0.0688)",="(0.0633)",="(0.0564)"

="Constant",="9.777***",="4.818***",="7.584***"
="",="(1.393)",="(1.285)",="(1.142)"

="Observations",="333",="333",="333"
="R-squared",="0.995",="0.997",="0.996"
="AIC",="-299.5",="-271.4",="-354.4"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
